SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
C1CC2=C(C(=O)C1)C(=CO2)C(=O)O,Name,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",713937,180.1577688,3,0.9296,0.428571429,0.333333333,1,166926456.4,109158476.9,111286467.2,185796689.8,194877402.8,216673686.9
C[N+]1=CC=CC(=C1)C(=O)[O-],Name,Trigonelline,5570,137.1362496,2,-1.5732,0.352941176,0.142857143,1,101737096.6,172200134.3,92765836.25,91234248.95,98807069.47,102938960.6
C1=CC=C(C=C1)CC(C(=O)O)N,Name,L-Phenylalanine,6140,165.1894844,3,0.9553,0.260869565,0.222222222,1,487375894.8,1072346589,767089669.8,329654098,1426189763,1058386973
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Name,Caffeine,2519,194.1909174,3,0.8222,0.375,0.375,0,54742058.6,126272212.1,110473367.6,2500351792,2320824337,2208153387
C1=C(NC=N1)C=CC(=O)O,Name,Urocanic acid,736715,138.1242762,3,0.0808,0.3125,0,1,288917915.4,399366896.9,429717698.4,121932604.6,1330851433,732822873.7
CC1=CNC(=O)NC1=O,Name,Thymine,1135,126.1135403,2,1.2529,0.4,0.2,0,29164660.92,41277006.9,40359780.76,26986697.67,26913995.27,25700243.88
CC1=NC=C(C(=C1O)CO)CO,Name,Pyridoxine,1054,169.1781535,4,-0.5144,0.260869565,0.375,0,44181415.48,37186702.8,40437017.54,39587204.27,37135766.47,39656518.9
C1=NC2=C(N1)C(=O)NC=N2,Name,Hypoxanthine,135398638,136.1116603,3,-0.5359,0.642857143,0,0,49572236.49,317561005.8,98337822.83,45834688.66,116289941.1,125418480.3
COC1=CC(=CC(=C1O)OC)C(=O)O,Name,Syringic acid,10742,198.1730552,3,1.1342,0.25,0.222222222,1,4813540.118,2942645.533,579400.9407,2756277.493,5133889.985,4328219.888
C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,Name,Kynurenic acid,3845,189.1678622,3,1.9051,0.476190476,0,1,7865898.471,14019097.59,9387965.525,10836477.35,9501632.611,6974182.52
C1=NC2=C(N1)C(=O)NC(=N2)N,Name,Guanine,135398634,151.1263042,4,-0.7408,0.5625,0,0,72963345.84,203665476.7,143560258.8,103671928.5,158157755.3,186163257.6
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Name,Adenosine,60961,267.2417245,8,-2.0201,0.4375,0.5,0,64984114.2,288978512.5,145812457.8,36852835.04,83071742.14,83202725.73
C(CC(=O)O)C(C(=O)O)N,Name,L-Glutamic acid,33032,147.1294692,5,-0.9239,0,0.6,2,146885069.1,141286463.8,167217843.4,172360851.2,263413280.2,346165914.8
CC1=NC=C(C(=C1O)C=O)CO,Name,Pyridoxal,1050,167.1622719,4,-0.1505,0.285714286,0.25,0,24617044.37,73570492.24,44053691.62,29269665.94,39131057.82,33991494.6
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,Name,DL-Tryptophan,1148,204.2256002,3,1.2488,0.333333333,0.181818182,1,66555594.3,150973034.9,117344251.2,62531684.13,251536528.4,172191947.7
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,Name,Indole-3-acetic acid,802,175.1843388,2,1.7627,0.409090909,0.1,1,6874913.832,8992141.484,6520836.41,35356447.8,15063408.49,14269737.68
CCCCCC(=O)CCC1C=CC(=O)C1CC=CCCCC(=O)O,Name,"13,14-Dihydro-15-keto Prostaglandin A2",5283042,334.4505603,4,4.0293,0.092592593,0.65,1,270679540.7,12517998.28,22818680.55,142327975.3,127761948,109441222.9
C1=CC(=O)OC2=CC(=C(C=C21)O)O,Name,Esculetin,5281416,178.1418873,3,1.6346,0.526315789,0,0,1298896.013,12540296.18,24213356.73,253647836.7,658509744.2,559145460.8
COC1=C(C=CC(=C1)C=O)O,Name,Vanillin,1183,152.147628,2,1.3056,0.315789474,0.125,0,36834703.26,77783721.32,65763398.53,73334301.13,75836143.33,72798740.89
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,Name,Eicosapentaenoic acid,5282847,302.4517504,2,5.9694,0,0.45,1,97269235.44,4718176.618,3151825.577,12391953.81,5805764.64,5330104.545
C1=CC(=CC=C1C=O)O,Name,4-Hydroxybenzaldehyde,126,122.1216057,2,1.322,0.4,0,0,20117918.16,25596975.79,24531873.13,27370993.64,30240343.13,29429082.75
